category,filename,file_size_mb,k2a_time_ms,sha256_original,k2a_original,hamming_reencode,hamming_frame_delete,hamming_brightness,hamming_overlay,phash_hamming_reencode,dhash_hamming_reencode
Shoplifting,Shoplifting009_x264.mp4,41.381,63.9,0x3ee94418d4dbedbbc7a7068e9d0b290861d94021c9de9f7d0d459132e85be47d,0x0000000000000000000000000000000000000000000000000017023701070003,2,1,32,4,0,0
Shoplifting,Shoplifting010_x264.mp4,21.369,77.2,0x717d68d3671d3f7638f80cc7db2e682599fceee21f15385431c569a1480d42ab,0x0000000000000000000000000000000000000000000000004000080008080008,0,0,51,0,0,0
Shoplifting,Shoplifting012_x264.mp4,184.741,104.3,0x830646b3d414c6d2b49fda418b1ca571ec82791110d1cb0989db646521670c55,0x000000000000000000000000000000000000000000000000b743f0613b207d89,1,1,31,2,0,0
Stealing,Stealing002_x264.mp4,14.528,69.1,0x88acfce0d4442084f313e9a6537d93b49567a83f5c1756ccaf5ca21d9d6d455b,0x000000000000000000000000000000000000000000000000dffbdeb0dbf0bbdf,1,2,17,1,0,0
Stealing,Stealing003_x264.mp4,25.398,76.1,0xce7983bbb834708b8316c72cb916b9cab0105e2f283c7f8e636d38b36ddd6b48,0x00000000000000000000000000000000000000000000000030f8108e1a521208,0,1,33,1,0,1
Stealing,Stealing004_x264.mp4,38.849,73.1,0x0eda49a9c80efd17e79aae13f318195c6a516151d82339f3c39f03fba5e80c89,0x000000000000000000000000000000000000000000000000f776f14fe4c2ec60,0,0,15,2,0,0
Stealing,Stealing006_x264.mp4,26.657,60.6,0xf0a5836568a1ffa22f10ded52f7161248cda093ea5ca881432a1fd0f4feedce3,0x000000000000000000000000000000000000000000000000ece4ac8428ceccc4,0,0,27,1,2,0
Stealing,Stealing007_x264.mp4,17.018,74.9,0x9c1667beb35370510af4048a6923e4fa5d8215f5bbc03fee5c83b27c9be704ff,0x000000000000000000000000000000000000000000000000777b737c377e377c,2,1,21,2,0,0
Stealing,Stealing008_x264.mp4,18.887,87.7,0xcd642740e72beeed30ac589f2754a55ff08381faa3d7c8b6256f6ae97bd22cb9,0x0000000000000000000000000000000000000000000000000ff00ff07ff0fff0,0,0,1,0,0,1
Stealing,Stealing009_x264.mp4,11.053,69.7,0x856ad953895526c63aa67ba75aab3d99c78876dc5822421abf203d4e773aca78,0x0000000000000000000000000000000000000000000000003631227b66266622,0,2,26,3,0,1
Stealing,Stealing010_x264.mp4,24.273,84.8,0xb36e872a247c775835c313a55348117d517cc27302453a9c36c8534406dd014a,0x0000000000000000000000000000000000000000000000000102101410041404,0,1,48,2,0,0
Stealing,Stealing011_x264.mp4,26.288,102.0,0x97ebf655ad4192fdfef01ec91c435f85d6e773257fe72a1458eacf5abdd2e04b,0x0000000000000000000000000000000000000000000000007400a410748d7dbe,3,2,35,2,0,0
Stealing,Stealing012_x264.mp4,15.305,59.8,0xd1544b5b5fbd23a9cc8a088ffb56d59f2d4ffde2af9fdea900ccde3c2058c6ba,0x000000000000000000000000000000000000000000000000a26282c444824480,4,3,39,6,0,0
Vandalism,Vandalism001_x264.mp4,12.029,127.4,0x5a99f2fefb3343c05f2a782f3b2def137e7ac5365355e44084a409abd27f3402,0x00000000000000000000000000000000000000000000000028f008d0cf505e20,0,2,23,1,0,3
Vandalism,Vandalism002_x264.mp4,11.38,93.9,0x1bcd10e27c99dee250b2ba0e7b5bb7180ad99bc8001862113af119d8a4c078fa,0x000000000000000000000000000000000000000000000000e240e040c0008c20,0,0,17,0,0,0
Vandalism,Vandalism003_x264.mp4,11.358,71.3,0x6affbfd0c23da681d74115f40c3298a03ab2952e81acad62f9b55c2084421f27,0x000000000000000000000000000000000000000000000000cf8a2f8aef9aef48,2,5,26,2,2,2
Vandalism,Vandalism004_x264.mp4,19.92,86.8,0xd7eeb647e1076b7480d178963152ac2584aa7563bfd0ac62809e7f492c146c40,0x0000000000000000000000000000000000000000000000000030006202000410,0,0,44,1,2,0
Vandalism,Vandalism005_x264.mp4,3.819,53.9,0xf08017ed12c1d75a7efc7eb8b607ae481361e2bb32aaa304468acd8a486eaca6,0x0000000000000000000000000000000000000000000000002000000000000000,0,0,15,0,0,2
Vandalism,Vandalism006_x264.mp4,2.719,64.8,0x407508a2a3587caac3b3e4b165983f494692301e400ed4c4bbed504c47ba9e56,0x000000000000000000000000000000000000000000000000f7b02a302220e220,0,0,39,0,0,1
Vandalism,Vandalism007_x264.mp4,6.141,81.0,0x940dda770f987fdd41c6c96f22abd5db8034a0bcdf578c3a772bdbcb129d0c4f,0x0000000000000000000000000000000000000000000000000000040044300040,0,2,31,0,2,0
Vandalism,Vandalism008_x264.mp4,100.832,48.2,0x45ed31bbcc9d0759b9a74c784f64c7838f051c83b6b474debbfb9c6519b22e6c,0x000000000000000000000000000000000000000000000000408800728ef246e0,0,0,19,1,0,1
Vandalism,Vandalism009_x264.mp4,12.452,112.6,0x7e99fb87bbbbcd2f52bcb621b6458c8daed35e9784da016f7f8f09f061056815,0x0000000000000000000000000000000000000000000000000650000000000000,0,0,15,0,0,1
Vandalism,Vandalism010_x264.mp4,24.842,73.1,0x4a5eaa6b445a47b75f0fa38046f75021c6c3c6c8fd83e391f384675e48c80728,0x0000000000000000000000000000000000000000000000000300c220c2009aa0,1,1,30,1,0,0
